0,10
1,21
2,22
3,22
4,12
5,28
6,15
7,20
8,15
9,16
10,11
11,21
12,13
13,18
14,17
15,31
16,18
17,14
18,9
19,12
20,24
21,8
22,48
23,14
24,23
25,31
26,27
27,15
28,12
29,18
30,33
31,51
32,19
33,36
34,77
35,15
36,31
37,9
38,11
39,9
40,17
41,14
42,30
43,12
44,11
45,8
46,23
47,13
48,8
49,40
50,13
51,10
52,8
53,15
54,9
55,9
56,8
57,13
58,11
59,13
60,9
61,12
62,10
63,8
64,9
65,12
66,10
67,8
68,8
69,13
70,11
71,25
72,41
73,13
74,24
75,19
76,27
77,33
78,20
79,10
80,24
81,26
82,37
83,12
84,84
85,10
86,9
87,9
88,11
89,9
90,9
91,10
92,9
93,7
94,7
95,13
96,13
97,9
98,10
99,10
100,123
101,299
102,254
103,222
104,147
105,242
106,164
107,258
108,147
109,172
110,152
111,105
112,186
113,82
114,121
115,220
116,217
117,44
118,45
119,123
120,22
121,66
122,41
123,150
124,238
125,111
126,106
127,19
128,95
129,119
130,125
131,97
132,94
133,110
134,123
135,151
136,152
137,48
138,161
139,106
140,11
141,128
142,102
143,113
144,400
145,400
146,400
147,111
148,400
149,128
150,17
151,124
152,111
153,357
154,168
155,70
156,237
157,62
158,310
159,400
160,400
161,400
162,400
163,400
164,400
165,400
166,378
167,107
168,223
169,205
170,400
171,400
172,400
173,318
174,45
175,162
176,16
177,12
178,13
179,12
180,16
181,15
182,152
183,63
184,69
185,112
186,96
187,99
188,106
189,103
190,96
191,98
192,97
193,105
194,96
195,100
196,97
197,112
198,107
199,117
