0,0.003424
50,-0.012256
100,-0.031857
150,-0.044087
200,-0.049573
250,-0.057312
300,-0.068662
350,-0.078157
400,-0.082811
450,-0.088825
500,-0.095482
550,-0.101761
600,-0.111611
650,-0.117476
700,-0.117558
750,-0.119848
800,-0.124177
850,-0.129079
900,-0.131473
950,-0.134364
1000,-0.138290
1050,-0.142648
1100,-0.147386
1150,-0.151026
1200,-0.150007
1250,-0.151294
1300,-0.152733
1350,-0.156542
1400,-0.158264
1450,-0.159708
1500,-0.162967
1550,-0.165530
1600,-0.168506
1650,-0.170906
1700,-0.170014
1750,-0.170448
1800,-0.170602
1850,-0.173826
1900,-0.175598
1950,-0.175865
2000,-0.178477
2050,-0.181117
2100,-0.182479
2150,-0.185260
2200,-0.183452
2250,-0.183995
2300,-0.183965
2350,-0.187132
2400,-0.188579
2450,-0.188408
2500,-0.190170
2550,-0.192775
2600,-0.193479
2650,-0.195203
2700,-0.194320
2750,-0.194362
2800,-0.194502
2850,-0.196007
2900,-0.198727
2950,-0.198283
3000,-0.199284
3050,-0.201288
3100,-0.202135
3150,-0.204191
3200,-0.203411
3250,-0.203117
3300,-0.202895
3350,-0.203095
3400,-0.207426
3450,-0.205822
3500,-0.207574
3550,-0.209382
3600,-0.209866
3650,-0.211334
3700,-0.211154
3750,-0.210401
3800,-0.210090
3850,-0.209882
3900,-0.213963
3950,-0.212853
4000,-0.213684
4050,-0.214600
4100,-0.216254
4150,-0.218061
4200,-0.217778
4250,-0.216393
4300,-0.215859
4350,-0.215619
4400,-0.219181
4450,-0.218502
4500,-0.219414
4550,-0.219460
4600,-0.221693
4650,-0.222977
4700,-0.223566
4750,-0.221897
4800,-0.221229
4850,-0.220926
4900,-0.224058
4950,-0.223788
5000,-0.223814
5050,-0.224656
